name,id,align,eye,hair,sex,gsm,alive,apperances,first,year,publisher
Izaya (New Earth),Public Identity,Good Characters,Grey Eyes,White Hair,Male Characters,,Deceased Characters,132,"1971, March",1971,DC
Barbara Ann Minerva (New Earth),Public Identity,,Brown Eyes,,Female Characters,,Living Characters,131,"1987, August",1987,DC
Rory Regan (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,131,"1976, September",1976,DC
Eclipso (New Earth),Secret Identity,Bad Characters,Red Eyes,Black Hair,Male Characters,,Living Characters,131,"1963, July",1963,DC
Mick Rory (New Earth),Public Identity,,Blue Eyes,,Male Characters,,Living Characters,131,"1963, November",1963,DC
Kyle Morgan (New Earth),Public Identity,Good Characters,Brown Eyes,Blond Hair,Male Characters,,Living Characters,131,"1957, February",1957,DC
Matthew Ryan (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,131,"1957, February",1957,DC
Dinah Drake (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Deceased Characters,131,"1947, August",1947,DC
Robert Langstrom (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,130,"1970, June",1970,DC
Sargent Steel (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,130,"1964, December",1964,DC
Victory (New Earth),,Good Characters,Black Eyes,White Hair,Male Characters,,Living Characters,130,"1941, September",1941,DC
Katma Tui (New Earth),Public Identity,Good Characters,,Black Hair,Female Characters,,Deceased Characters,129,"1964, July",1964,DC
Walter Haley (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,129,"1957, February",1957,DC
Charles Victor Szasz (New Earth),Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,,Deceased Characters,128,"1967, June",1967,DC
Ares (New Earth),Public Identity,Bad Characters,Red Eyes,Blond Hair,Male Characters,,Living Characters,127,"1987, February",1987,DC
Rip Carter (New Earth),Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,127,"1942, June",1942,DC
Eradicator (New Earth),Public Identity,Good Characters,Photocellular Eyes,Black Hair,Male Characters,,Deceased Characters,126,"1989, May",1989,DC
Emil Hamilton (New Earth),Public Identity,Bad Characters,Hazel Eyes,Grey Hair,Male Characters,,Living Characters,126,"1987, January",1987,DC
Richard Swift (New Earth),Secret Identity,Neutral Characters,Grey Eyes,Black Hair,Male Characters,,Living Characters,126,"1942, September",1942,DC
Frederick Freeman (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,125,"1995, May",1995,DC
Katar Hol (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,125,"1989, August",1989,DC
Richard Occult (New Earth),Secret Identity,,Grey Eyes,Black Hair,Male Characters,,Living Characters,125,"1935, October",1935,DC
Maxima (New Earth),Public Identity,Good Characters,Brown Eyes,Red Hair,Female Characters,,Deceased Characters,124,"1989, September",1989,DC
Dawn Granger (New Earth),Secret Identity,Good Characters,Blue Eyes,White Hair,Female Characters,,Living Characters,124,"1988, October",1988,DC
Inza Cramer (New Earth),Secret Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Female Characters,,Deceased Characters,124,"1940, May",1940,DC
Linda Danvers (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,123,"1996, September",1996,DC
Dubbilex (New Earth),Public Identity,Good Characters,Green Eyes,,Male Characters,,Living Characters,123,"1971, March",1971,DC
Gunner MacKay (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,123,"1959, May",1959,DC
Antonia Monetti (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,122,"1996, October",1996,DC
Jack Knight (New Earth),Public Identity,Good Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,122,"1994, September",1994,DC
Skeets (New Earth),Public Identity,Good Characters,,,Male Characters,,Living Characters,122,"1986, February",1986,DC
Nimue Inwudu (New Earth),Public Identity,Good Characters,Green Eyes,Black Hair,Female Characters,,Living Characters,121,"1978, February",1978,DC
Khaji Da (New Earth),Secret Identity,Good Characters,,,,,Living Characters,121,"1964, June",1964,DC
Sarge Clay (New Earth),Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,,Deceased Characters,121,"1959, May",1959,DC
Elizabeth Lawrence (New Earth),Secret Identity,,Blue Eyes,Blond Hair,Female Characters,,Living Characters,120,"1942, December",1942,DC
Pallas Athena (New Earth),Public Identity,Neutral Characters,Grey Eyes,Brown Hair,Female Characters,,Living Characters,118,"1958, May",1958,DC
Crispus Allen (New Earth),Secret Identity,Good Characters,Brown Eyes,,Male Characters,,Deceased Characters,116,"2000, March",2000,DC
Evan McCulloch (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,116,"1989, February",1989,DC
Terrence Long (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Deceased Characters,116,"1981, June",1981,DC
Strata (New Earth),Public Identity,Good Characters,White Eyes,,Female Characters,,Living Characters,115,"1989, February",1989,DC
Granny Goodness (New Earth),Public Identity,Bad Characters,Blue Eyes,White Hair,Female Characters,,Deceased Characters,115,"1971, June",1971,DC
Dolphin (New Earth),,Good Characters,Blue Eyes,Silver Hair,Female Characters,,Deceased Characters,115,"1968, December",1968,DC
Zeus (New Earth),Public Identity,Neutral Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,115,"1941, December",1941,DC
Holly Robinson (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,Homosexual Characters,Living Characters,114,"1987, February",1987,DC
Martha Kane (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Deceased Characters,113,"1987, February",1987,DC
Jason Woodrue (New Earth),Public Identity,Bad Characters,Red Eyes,Green Hair,Male Characters,,Living Characters,113,"1962, July",1962,DC
John Sargent (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,113,"1941, May",1941,DC
Dian Belmont (New Earth),Public Identity,Good Characters,Hazel Eyes,Brown Hair,Female Characters,,Deceased Characters,113,"1940, February",1940,DC
Edward Bloomberg (New Earth),Secret Identity,Good Characters,Yellow Eyes,Grey Hair,Male Characters,,Deceased Characters,111,"1984, June",1984,DC
Leslie Thompkins (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,,Living Characters,111,"1976, March",1976,DC
Tara Markov (Team Titans),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Deceased Characters,110,1991,1991,DC
Dmitri Pushkin (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,110,"1987, February",1987,DC
June Moone (New Earth),Secret Identity,Good Characters,Green Eyes,Black Hair,Female Characters,,Living Characters,110,"1966, April",1966,DC
Mia Dearden (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,109,"2001, May",2001,DC
Krypto (New Earth),Secret Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,109,"1955, March",1955,DC
Ohiyesa I (New Earth),Public Identity,Good Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,109,"1949, September",1949,DC
Donald Richards (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,109,"1942, March",1942,DC
Zauriel (New Earth),Public Identity,Good Characters,Red Eyes,White Hair,Male Characters,,Living Characters,108,"1997, June",1997,DC
Leonid Kovar (New Earth),Secret Identity,Good Characters,Green Eyes,Blond Hair,Male Characters,,Living Characters,108,"1968, December",1968,DC
Thomas Blake (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,108,"1963, January",1963,DC
Emily Briggs (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,,Living Characters,107,"1985, September",1985,DC
Lilith Clay (New Earth),Secret Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Female Characters,,Deceased Characters,107,"1970, February",1970,DC
Thomas Tresser (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,106,"1980, September",1980,DC
Hans von Hammer (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,106,"1965, February",1965,DC
William Polk (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,106,"1948, February",1948,DC
Lyla Michaels (New Earth),Public Identity,Good Characters,Green Eyes,Blond Hair,Female Characters,,Deceased Characters,105,"1982, July",1982,DC
Bruce Gordon (New Earth),Public Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,105,"1963, July",1963,DC
Sugar Plumm (New Earth),,Good Characters,,Blond Hair,Female Characters,,Living Characters,105,"1956, May",1956,DC
Jervis Tetch (New Earth),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,105,"1948, October",1948,DC
Enya Wazzo (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,104,"1989, November",1989,DC
Werner Vertigo (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,104,"1978, July",1978,DC
Sapphire Stagg (New Earth),,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,104,"1965, January",1965,DC
Zinda Blake (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,104,"1959, February",1959,DC
Cecil Wilson (New Earth),,Good Characters,,Red Hair,Male Characters,,Living Characters,104,"1956, May",1956,DC
Aphrodite (New Earth),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,104,"1941, December",1941,DC
Sarah Essen (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Deceased Characters,103,"1987, March",1987,DC
Jade Nguyen (New Earth),Secret Identity,Bad Characters,Green Eyes,Black Hair,Female Characters,,Living Characters,103,"1983, August",1983,DC
Rip Hunter (New Earth),Secret Identity,,Blue Eyes,Blond Hair,Male Characters,,Living Characters,103,"1959, June",1959,DC
Wing How (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,103,"1938, October",1938,DC
Jack Drake (New Earth),,Good Characters,Black Eyes,Brown Hair,Male Characters,,Deceased Characters,102,"1989, August",1989,DC
Vril Dox I (New Earth),Secret Identity,Bad Characters,Green Eyes,,Male Characters,,Living Characters,102,"1988, March",1988,DC
Adolf Hitler (New Earth),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,101,"1942, March",1942,DC
Grace Choi (New Earth),Secret Identity,Good Characters,Brown Eyes,Red Hair,Female Characters,Bisexual Characters,Living Characters,100,"2003, August",2003,DC
Lawrence Jordan (New Earth),Secret Identity,,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,100,"1942, February",1942,DC
Natasha Irons (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,99,"1994, February",1994,DC
Katherine Spencer (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,98,"2004, October",2004,DC
Stealth (New Earth),Secret Identity,Good Characters,Pink Eyes,White Hair,Female Characters,,Deceased Characters,98,"1989, February",1989,DC
Lorraine Reilly (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,,Living Characters,98,"1982, June",1982,DC
Noah Kuttler (New Earth),Public Identity,Bad Characters,Green Eyes,Brown Hair,Male Characters,,Living Characters,98,"1976, September",1976,DC
Despero (New Earth),Public Identity,Bad Characters,Yellow Eyes,,Male Characters,,Living Characters,98,"1960, November",1960,DC
Jan Haasan (New Earth),Public Identity,Good Characters,,Blond Hair,Male Characters,,Living Characters,98,"1942, June",1942,DC
Tef\u00e9 Holland (New Earth),,Bad Characters,Blue Eyes,White Hair,Female Characters,Bisexual Characters,Living Characters,97,"1989, December",1989,DC
Hippolyta Trevor (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Deceased Characters,97,"1983, February",1983,DC
Jeffrey Franklin Burr (New Earth),Secret Identity,Bad Characters,Black Eyes,,Male Characters,,Deceased Characters,97,"1976, March",1976,DC
Bizarro (New Earth),Public Identity,Neutral Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,96,"2000, September",2000,DC
Henry Henshaw (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,96,"1990, May",1990,DC
Charles Dickles (New Earth),Public Identity,Good Characters,,,Male Characters,,Living Characters,96,"1941, June",1941,DC
Maxine Hunkel (New Earth),Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,95,"2007, February",2007,DC
Dream (New Earth),Secret Identity,Neutral Characters,Black Eyes,Black Hair,Male Characters,,Deceased Characters,95,"1989, January",1989,DC
Wade Eiling (New Earth),Public Identity,Bad Characters,Red Eyes,Brown Hair,Male Characters,,Living Characters,95,"1987, March",1987,DC
Black Manta (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,95,"1967, October",1967,DC
Felix Faust (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,95,"1962, March",1962,DC
Virgil Hawkins (Dakotaverse),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,94,"1993, June",1993,DC
James Harper (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,94,"1942, April",1942,DC
Soranik Natu (New Earth),Public Identity,Good Characters,Purple Eyes,Black Hair,Female Characters,,Living Characters,93,"2005, November",2005,DC
Anissa Pierce (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Homosexual Characters,Living Characters,92,"2003, August",2003,DC
Roman Sionis (New Earth),Public Identity,Bad Characters,Black Eyes,,Male Characters,,Deceased Characters,92,"1985, August",1985,DC
"Henry King, Jr. (New Earth)",Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,,Living Characters,92,"1983, August",1983,DC
Orm Marius (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,92,"1966, October",1966,DC
Citizen Abra (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,92,"1962, May",1962,DC
Abin Sur (New Earth),Public Identity,Good Characters,Blue Eyes,,Male Characters,,Deceased Characters,92,"1959, October",1959,DC
Merlin (New Earth),Secret Identity,Neutral Characters,Black Eyes,White Hair,Male Characters,,Living Characters,92,"1936, February",1936,DC
William Payton (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,91,"1988, October",1988,DC
Danette Reilly (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,,Living Characters,91,"1981, August",1981,DC
Jonathan Tane (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,91,"1948, August",1948,DC
